dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
car_parts/M/short,SLSQPEnsemble_5-models_opt-mae_1-windows,1.606659460866018,1.606659460866018,0.4935535142602453,0.91758369425483,0.7926886660130654,1.867380571025427,14.42603648439669,1.2675407136916816,2.728990713977247,1.0626111987710627,0.9428060982025892,Sales,1
covid_deaths/D/short,SLSQPEnsemble_5-models_opt-mae_1-windows,299281.3280502273,299281.3280502273,79.26405558041805,36.548533055087645,0.1312055010555522,0.4571200841414998,650.6764625675573,547.0661093965036,0.3028735976257419,0.0438831601221492,0.0397456232844112,Healthcare,1
electricity/15T/long,SLSQPEnsemble_5-models_opt-mae_1-windows,126912.78195626911,126912.78195626911,48.67183485657179,0.9583974618025524,0.151326030383835,0.1474972614558645,11.065045418404203,356.2482027411074,0.6780563898343002,0.0926383582444111,0.0771630129748447,Energy,1
electricity/15T/medium,SLSQPEnsemble_5-models_opt-mae_1-windows,175914.87036356112,175914.87036356112,53.052451802555005,0.988550092997551,0.1985066779604191,0.1523174721577382,11.661519266155867,419.4220670918033,0.8020834138771086,0.1014550616075004,0.0853986875618609,Energy,1
electricity/15T/short,SLSQPEnsemble_5-models_opt-mae_1-windows,78635.3483647989,78635.3483647989,42.26207320585532,0.8611289007066512,0.21533676311651,0.1340034551372686,8.42403050518481,280.41995001211825,0.5436344512336035,0.0819311142957791,0.0670958842493744,Energy,1
electricity/D/short,SLSQPEnsemble_5-models_opt-mae_1-windows,1202799530.421295,1202799530.421295,4032.789175208511,1.3943481691432569,0.2892460891484898,0.0938791029664929,11.690686913846998,34681.400352657256,0.5987869910973509,0.0696275718799818,0.0552889050885545,Energy,1
electricity/H/long,SLSQPEnsemble_5-models_opt-mae_1-windows,8024659.264513295,8024659.264513295,255.298665095317,1.1048699549366778,0.2027996105567178,0.1372702660876736,15.996037994597827,2832.7829540071184,1.1738167527050294,0.1057877906276616,0.0878961620875214,Energy,1
electricity/H/medium,SLSQPEnsemble_5-models_opt-mae_1-windows,4987487.375138702,4987487.375138702,226.62821914114235,1.0601206198714117,0.2157060036844741,0.134258624468659,13.08007782978869,2233.268316870748,0.9938071727418428,0.1008498387886333,0.0833306938708473,Energy,1
electricity/H/short,SLSQPEnsemble_5-models_opt-mae_1-windows,3886814.147781524,3886814.147781524,289.77606205819694,1.5477787507960683,0.3833936543397113,0.1963123829743768,27.89877313172041,1971.500481303904,0.9953479717393277,0.146298729502453,0.1269602577284978,Energy,1
electricity/W/short,SLSQPEnsemble_5-models_opt-mae_1-windows,60827104015.56555,60827104015.56555,31433.01800951721,1.4880062278163757,0.1884889258485048,0.0948574662987494,11.34534395009086,246631.5146439432,0.5651890124354013,0.0720329534216705,0.0568502012323042,Energy,1
ett1/15T/long,SLSQPEnsemble_5-models_opt-mae_1-windows,6.361173068893214,6.361173068893214,1.335819842896031,0.903153250497626,0.498484447137771,0.2793467280366993,6.11543814068513,2.5221366078968077,0.4565701215607099,0.2418169682580505,0.1869917631719674,Energy,7
ett1/15T/medium,SLSQPEnsemble_5-models_opt-mae_1-windows,5.249975437515823,5.249975437515823,1.2603018370668646,0.840972847906018,0.5169287171652438,0.2604018111899209,5.528651221944569,2.2912824874981745,0.4170794978306472,0.2294112839368126,0.1772665526950927,Energy,7
ett1/15T/short,SLSQPEnsemble_5-models_opt-mae_1-windows,2.088766867603602,2.088766867603602,0.8705749133288959,0.6290672083659636,0.2142082227311023,0.1803932024849773,4.168102575334656,1.4452566787957086,0.2383458766648175,0.1435716879666491,0.1092848866003392,Energy,7
ett1/D/short,SLSQPEnsemble_5-models_opt-mae_1-windows,41618.45906814988,41618.45906814988,139.5076220121563,1.7167630444760362,1.4730803222066498,0.4953667145381032,10.103394874253366,204.006027038786,0.5612135367153664,0.3837806514084382,0.291242030741235,Energy,7
ett1/H/long,SLSQPEnsemble_5-models_opt-mae_1-windows,154.1438726775592,154.1438726775592,7.516314426868799,1.440866565795461,5128774904319.954,0.5155971248608483,18.902428763669697,12.4154690880997,0.6145103770632352,0.3720240596473458,0.3097442021897481,Energy,7
ett1/H/medium,SLSQPEnsemble_5-models_opt-mae_1-windows,133.61065583738556,133.61065583738556,6.632657683872349,1.243436625950107,3442034906667.665,0.4298161207217409,8.633577009736534,11.559007562822403,0.5536490617284108,0.3176885803979018,0.2479043486376063,Energy,7
ett1/H/short,SLSQPEnsemble_5-models_opt-mae_1-windows,78.816659887443,78.816659887443,4.8638046173405005,0.7994539091947833,0.3594019341989282,0.2566215277601039,5.00566384148134,8.877874739341786,0.4344219436533331,0.2380010438817896,0.1839449033005449,Energy,7
ett1/W/short,SLSQPEnsemble_5-models_opt-mae_1-windows,1104470.4570235938,1104470.4570235938,770.0115538365174,1.287825134531,0.5219076700705622,0.4068406565091417,7.840036379460999,1050.9378939897415,0.4179299873063239,0.3062130700215856,0.2344406241818221,Energy,7
ett2/15T/long,SLSQPEnsemble_5-models_opt-mae_1-windows,10.505180215420834,10.505180215420834,2.075553572755891,0.8654211261481931,0.1188502303732678,0.1377417787815458,6.562982071218636,3.2411695752337355,0.1599468417731576,0.1024254458729942,0.0816528892744851,Energy,7
ett2/15T/medium,SLSQPEnsemble_5-models_opt-mae_1-windows,11.02042752962496,11.02042752962496,2.149324191740717,0.8741843938668764,0.1164403642366722,0.1315128410927152,6.357477772016147,3.319702927917641,0.1580486479863604,0.1023277654552302,0.080474681915259,Energy,7
