dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
car_parts/M/short,TSOrchestra-Toto2,1.356814769251267,1.356814769251267,0.444648796209989,0.823975887532301,0.8508006696322199,1.9025920191592047,15.565762368828226,1.1648239219947654,2.793128276793437,1.0662222010425573,0.9270410245585756,Sales,1
covid_deaths/D/short,TSOrchestra-Toto2,287305.8495158288,287305.8495158288,84.26789105398116,31.978081259390063,0.0820108293997402,0.357717858252227,548.5884450473853,536.0091879024359,0.2016760559600082,0.0317062026088403,0.0261972271096511,Healthcare,1
electricity/15T/long,TSOrchestra-Toto2,310362.2281097468,310362.2281097468,55.23232638697665,0.8297027833509591,0.1203897544275779,0.1255320211972804,6.890743186220296,557.1016317600827,0.8788961391417381,0.0871357677843519,0.0697067832033759,Energy,1
electricity/15T/medium,TSOrchestra-Toto2,247453.5592184949,247453.5592184949,50.05899120094846,0.7820132901430921,0.1200185749925926,0.1232011959290071,6.7913506877064265,497.4470416220152,0.8571513236759477,0.0862566805701888,0.0694386257363602,Energy,1
electricity/15T/short,TSOrchestra-Toto2,116541.65067329929,116541.65067329929,43.217287146168886,0.8344803743843541,0.1375911403940485,0.1461606175992215,9.879241722075506,341.38197180475026,0.6729311755056931,0.0851897939650773,0.0718358462025533,Energy,1
electricity/D/short,TSOrchestra-Toto2,1281161943.2885237,1281161943.2885237,4096.826637747794,1.3779359534781652,0.375482005072723,0.0930545102449593,11.222459676291423,35793.32260755522,0.588203161797297,0.0673244674175621,0.0531284927466704,Energy,1
electricity/H/long,TSOrchestra-Toto2,7752012.592873237,7752012.592873237,248.6095671582379,1.066956694277058,0.272396201119632,0.1333904198225525,15.544663900828512,2784.2436303012773,1.0981048818425163,0.0980515413227955,0.0818697007571939,Energy,1
electricity/H/medium,TSOrchestra-Toto2,5239658.249661216,5239658.249661216,220.678737217519,0.974015204581614,0.2262300153062726,0.124001924622839,12.857626668500236,2289.029980070426,0.8934838311055306,0.0861381831122077,0.0717627904526725,Energy,1
electricity/H/short,TSOrchestra-Toto2,1251196.733805352,1251196.733805352,151.6195996499638,0.8473893031241594,0.1649927020424117,0.1165505998090298,10.198853166962513,1118.5690563417854,0.5280444753345055,0.0715752786952918,0.0594232601753311,Energy,1
electricity/W/short,TSOrchestra-Toto2,46031490094.55166,46031490094.55166,29660.23610005504,1.533511544487126,0.2065813139300673,0.0998452807481619,12.07971421306852,214549.5049972189,0.4895311718538436,0.0676748712876771,0.052636954137548,Energy,1
